X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X2.1,X3.1,X4.1,X5.1,X6.1,X7.1,X8.1,X9.1,X10.1,X11.1,X12.1,X13.1,X14.1,X15.1,X16.1
0A,0,0,0,0,0,0,.01,.01,0,0,0,0,.01,0,.01,.1,.01,.01,0,.01,0,.01,.01,65,.01,0,0,0,0,.01,0,0,0,0,0,0,0,.01,0,0
0C,0,0,0,0,0,0,.01,0,0,0,.01,0,0,0,0,.01,.01,0,0,.1,0,.01,.01,10,0,0,0,0,0,0,0,0,0,0,0,.01,0,.01,0,0
0E,0,0,.01,0,0,.1,.01,.1,0,0,0,0,.01,0,.01,0,0,0,0,0,0,.01,.1,15,.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0G,0,0,0,0,0,.1,0,0,0,0,.01,0,.01,0,.01,.01,.01,0,0,0,0,.01,0,60,.1,0,0,0,0,0,0,0,.01,2,0,0,0,.01,0,0
0I,0,0,1,3,0,60,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,2,.1,0,0,0,0,0,0,0,.1,0,0,0,0,0,.01,0
2I,0,0,.1,1,0,10,0,0,0,.01,0,0,0,0,.1,.01,.01,0,0,0,0,.01,.01,40,1,0,0,0,0,0,0,0,1,1,0,0,0,.01,0,0
2G,0,0,.01,0,0,.1,.1,0,0,0,0,0,.01,0,.01,.01,0,0,.01,.01,0,.01,0,80,.1,0,0,0,.01,0,0,0,0,2,0,0,0,.01,0,0
2E,0,0,.01,.1,0,1,.1,.01,.01,0,.01,0,.1,0,0,.1,.01,0,0,.01,0,.01,.01,10,.1,0,0,0,0,0,0,0,.1,2,0,0,.1,.1,0,.01
2C,0,0,.01,.01,0,1,.01,0,0,0,.1,0,.01,0,.01,.1,.1,0,0,.01,0,.01,.01,25,.1,0,0,0,0,0,0,0,.1,1,0,0,.1,.1,0,0
2A,0,0,.01,.01,0,20,.1,0,0,0,.01,0,0,0,0,.01,.01,.01,0,.01,0,.01,.01,40,1,0,0,0,0,0,0,0,.1,1,0,0,0,.01,0,0
4A,0,0,0,0,0,1,.1,1,0,0,.01,0,.01,0,0,.1,1,0,0,.1,0,.01,.01,20,.1,1,.1,0,0,0,0,0,0,3,0,0,.01,.01,0,0
4C,0,0,.01,0,0,1,.01,.1,0,0,.01,0,.01,0,.1,0,.1,0,0,.01,0,0,0,60,.1,.01,0,0,0,.01,0,0,.01,3,0,0,0,.01,0,0
4E,0,0,0,40,0,20,.01,0,0,0,0,0,0,0,.01,.1,.01,0,.01,.01,0,.01,.01,7,.1,0,0,0,.01,0,0,0,.1,2,0,0,0,0,0,.01
4G,0,0,.01,.1,0,1,.01,0,0,0,.01,0,.01,0,.01,.01,.1,0,0,.01,0,.01,.01,60,1,0,.01,0,0,0,0,0,0,1,0,0,0,.01,.01,0
4I,0,0,0,0,0,0,.01,0,0,0,.01,0,.01,0,.01,0,0,0,0,.01,0,0,.01,50,.1,0,.01,0,0,0,0,0,.01,1,0,0,0,.01,0,0
6I,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,.1,.1,0,0,.01,0,.01,.01,80,.1,.01,0,0,0,0,0,0,0,0,0,0,0,.01,0,0
6G,0,.01,.01,0,0,.1,0,.01,0,0,.01,0,.01,0,0,0,.01,0,0,.01,0,0,.01,70,.1,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0
6E,0,0,.01,0,0,.1,.01,0,0,0,.1,0,.01,0,0,0,0,0,0,.01,0,0,.01,65,1,.01,.01,0,.1,0,0,0,0,2,0,0,0,.01,0,0
6C,0,0,.01,0,0,.1,0,0,0,0,0,0,.01,0,0,0,0,0,0,.01,0,.01,.01,55,1,.01,.01,0,.1,0,0,0,0,1,0,0,0,.01,.01,0
6A,0,0,0,0,0,.01,.01,0,0,0,.01,0,.01,0,.01,.01,.01,.01,0,.01,0,.01,.01,60,.1,.01,0,0,0,0,0,0,0,.1,0,0,0,0,0,0
8A,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,.01,.1,0,0,.01,0,.01,.01,80,.1,0,.01,0,.01,0,0,0,0,.1,0,0,0,.01,0,0
8C,0,0,0,0,0,.01,0,.01,0,0,.01,0,.01,0,.01,.01,0,0,0,0,0,0,.01,20,.1,0,0,0,0,.01,0,0,0,0,.1,0,0,.01,0,.01
8E,0,0,0,0,0,.1,.1,.1,0,0,0,0,0,0,0,.01,.01,0,.01,.1,0,0,.01,80,.1,1,0,0,0,.01,0,0,0,0,0,0,.01,.01,0,0
8G,0,0,0,0,0,0,.01,.01,0,0,.01,0,.01,0,.01,.01,.01,0,0,.01,0,0,.01,75,.1,0,0,0,.01,0,0,0,0,0,0,0,.01,.01,0,0
8I,0,0,0,0,.01,0,0,1,0,0,.01,.01,.01,0,0,.1,.01,0,0,0,0,0,0,55,.01,.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
